SG5747063,DL8326,19A
YI6070045,SY8036,19A
VN8234182,AA4640,25F
LD4539932,NK2749,21D
DL4077850,DL4036,9A
BQ3836591,B62506,10F
OQ6600562,SY1821,25F
FO1499351,WN7314,24A
WL2837585,WN6844,23D
TD8771438,NK2099,3C
CN6621851,G47817,18A
GH5897812,WN5291,23B
XW2335443,AS5507,9C
AW9518882,NK8004,17C
ZQ3501061,NK3635,3C
BH4391783,G49547,28C
SZ1500562,WN5388,11F
JM7451957,NK5275,28E
TX4846399,F93517,26C
ZZ2570152,AS8506,24C
NI3313386,WN5278,25C
TU4753796,UA9503,11C
HX0081000,UA4473,18F
OU9423560,WN6080,18C
ZG7382636,F94599,22D
BX1914038,NK7484,30D
GD7303799,F92521,14A
NR5582208,DL2546,12D
EM7067073,AS8147,16A
LA1453071,B64790,9D
BU9621364,F95736,1B
IH6633158,UA5473,29E
YC3473896,SY5320,15F
LF8675640,B67643,23F
CS2584541,AS8403,21B
LT8640771,B66002,24A
BS5083497,UA5473,6C
GE3052597,DL4739,16D
LE2147145,F97348,22B
ZL2993061,WN5716,24B
RU4609960,WN3733,12A
YJ3609604,NK9648,25B
UK0440520,B67231,1F
FQ4259840,AS5507,30B
RJ2850323,AS6974,26A
BC8972645,UA8933,20B
BP2669166,WN9584,19D
PU5185714,SY2910,7C
OK7889207,UA7063,29E
VI1201657,F94103,16A
WD2021097,NK3844,1F
TY7686613,B69341,27F
IA1529358,F97422,27D
JP1581428,G43537,8F
ZA5768201,NK1798,28B
GG5297204,B61065,7C
IL0900397,DL7051,9F
IO8926373,NK2378,22D
GM6730287,AS2260,4E
CQ3520150,WN6149,14B
YI3486959,WN5716,21B
JG5580976,WN8014,29A
AO4316118,SY5698,26B
NT5564907,AA3236,18A
MQ2671134,WN8862,30D
OQ0622175,AA3427,6F
EZ3275057,SY1821,14A
NZ3879805,NK7314,1F
XZ8606117,F97267,25D
CC2829579,B61327,22B
HG5693762,AA6228,15C
JX9895282,WN1155,19F
BQ5489414,UA2306,29C
OF6065138,NK2283,9F
AR7251899,AS3497,24B
TH6049200,DL5240,26E
JG0543779,UA9503,25A
XU0278906,UA5274,12A
VB0134962,WN8626,12C
UX0799455,SY2510,15B
LB8911728,AS8403,30E
ZE7678206,G44342,14A
YP4004253,NK8277,11E
PG1557301,SY5826,15E
CD1702856,F94318,19C
NF0318414,NK3153,16D
NU9177674,UA3866,18A
ZS8551500,UA8933,3A
JM3683585,G41251,2B
YX5769596,B61327,27E
IX0311023,G49033,9C
XY3129623,AS8147,30D
MX9071738,G48714,19A
MS0970330,WN2556,9C
VC2556700,F96858,17B
QV8318945,SY9777,27F
EX3791590,WN4416,27B
PD5559712,WN3180,13C
US0532440,SY2047,29F
JJ3180309,AS1625,30A
XW5342435,DL3774,25F
FV0274326,WN4416,20B
BA1976672,SY5826,25B
YS0362856,G41102,20E
EI5747756,SY2047,18C
WJ5104997,G44923,16A
FE8113384,AS5208,21C
IN3204907,AS5507,29D
BA1976672,DL7254,21D
ST3981645,G42389,22E
DO9750703,NK8966,28B
YV3284272,NK2613,1D
WG4909060,DL6547,23E
UU5146505,UA7063,12D
PS5410180,NK3844,13E
RV1740157,G49169,21C
VC6296176,DL7948,5B
OQ6279675,WN3882,17F
VU2303072,G41985,3F
GO7403406,F97552,22B
LV7615410,SY7893,27A
HT0916816,UA9503,11C
XO4041925,SY1530,6F
ZB0173072,G46214,3B
MY4711319,UA6250,27B
AR8208173,SY6497,29B
OD9952420,UA2663,1A
YK9439157,WN6098,18C
JF2186677,NK1934,21E
TW5574523,SY1478,19D
PU5789228,WN6797,28D
XD5206193,F96872,17A
CF8457314,G45194,19C
BU7172846,WN8014,19B
PJ9071068,UA5195,22B
NC9096375,SY5171,6B
XV2402053,WN6393,13B
IE6411527,DL6571,14D
RD9459254,UA5577,4E
AN9230281,DL4211,28D
PG5640510,DL8326,5F
KQ7198012,AA8499,4F
KD6772665,AA9721,9F
KT2434415,UA7831,2A
WT2683081,SY3251,7A
JY7856218,WN2556,16B
PG5640510,NK4468,8A
ND3682986,SY2712,9E
PJ1479549,B63645,16B
DJ7064258,DL4211,27E
EF5774482,G46152,28E
EJ7132304,F91153,7D
YK6089553,F96556,22A
DQ7184962,WN1155,20F
GE8284658,AS6950,26A
WU3203798,UA7540,13F
QD5902570,AA7717,23D
KT0091361,AS3926,28F
FZ5606602,B66002,22A
GM6730287,DL7948,29A
HJ8317107,NK1934,21F
LQ4142756,WN4206,14A
NF4934146,B62882,21E
CB3781115,WN1795,9E
CP2827453,UA9503,13B
VZ9297364,AS2256,26D
PC7816634,AA4640,22B
IJ0094044,AA9801,29A
RP6618197,B65599,21C
ZR8084141,G48864,18D
RH6122227,WN1157,6B
UM5037016,WN3753,30B
RB7106984,UA5977,3A
QH0142318,G43537,1C
IV3238346,AS5507,24B
IQ6407996,DL4473,22D
PB2546419,AA6356,13C
FQ0157954,F98339,29F
QV2082100,DL7865,23E
NL7706862,B61186,30C
PN2588127,WN6080,8A
ZT0121729,DL8073,5D
TF8355115,UA3866,30B
NA4207072,SY5818,3A
QF1316951,WN4359,27D
RW4952243,UA2123,28A
XB8269104,F92816,26D
LP4133173,F92494,10C
KY0843841,NK1276,12B
SA7415935,UA7063,20F
ED8282100,F96796,5B
MP8262943,UA6424,3E
XR6934382,NK1462,19F
PF9734833,AA5999,30F
WF4416288,SY3251,11D
EN0649061,UA9465,17C
AM1547254,WN4416,12A
ON7970759,SY2712,21C
US4744458,AS5507,2E
CS2887155,WN4416,23B
GC5053163,B63645,7D
BY2464662,AS7365,10B
JD6974957,WN4733,10B
GF0052496,DL6094,14F
AE3127550,F92616,17D
EH3458026,AA1020,2F
BZ1907413,DL8211,18A
GO7403406,SY9733,12F
ZU5715180,G45583,13F
KK1428520,UA7540,7F
PD7833986,SY8218,26F
RR9129411,F98700,16A
EJ7132304,B63223,11A
SB9538826,WN2556,4C
JH3155798,B66047,16C
KJ9387761,WN4359,22C
JR6418029,AA7410,16A
KM4393772,DL6547,3E
SP7440345,F97348,24D
BO5602068,NK1798,21D
JC0899921,AA6063,16F
DY5033974,SY1573,28C
VI9775828,WN4909,9F
KG0869832,DL4036,29C
PM8944377,NK4468,6F
EO9564462,F97500,10B
GL5617212,WN3175,5D
QL3476659,SY1075,18B
HN5527786,WN6626,25B
SI6185509,G41985,4E
NH6969709,NK5912,17C
WK0514375,G43307,4C
NU4210219,UA6424,12E
TI5794955,AS9177,30F
JO8408764,SY3310,18C
HV3772572,B65275,16D
ER1756064,SY1399,10D
KU1169327,NK1276,21F
ZY0434855,AS2376,18F
YD0334091,DL3452,17C
VT1002253,UA1919,22C
RS3428210,B63223,20E
QQ3113379,UA1130,7D
MY0695128,AA3643,11A
HI2349543,F94599,22A
HY7706342,B67958,26D
XA9722402,B62220,26B
PI3072603,NK1067,22D
YF9443172,NK1067,23A
YI7218001,SY9733,2C
KC5710381,UA7540,1B
WD2021097,NK8066,22A
MK7324841,SY1530,9F
HZ1918847,NK7192,28F
OP7478486,AA7717,10C
BG9468583,NK2099,16C
FO1499351,WN1816,26A
IP8745926,G47293,18A
YQ1859940,NK2675,3A
FG4290757,F94567,23E
HU4348365,WN7844,4E
VT1002253,UA4617,21D
AY0250993,NK2675,11B
SB5728726,NK6450,20A
BB9076001,DL4849,19D
IX7737659,G43148,26E
GR1981688,B62506,25D
JH3155798,AA9721,22D
YG6258427,AS5208,7B
SI5334185,AS2260,9E
FW7194107,DL4585,30E
PX8024912,AS8147,11E
LD9509286,F98742,21B
AN2032384,G47293,11B
WZ8189658,B69918,23D
QK4153519,NK1934,13E
LC5232418,B69635,5E
CO1091131,F92879,3E
UP3236216,G49547,27E
QE5457488,NK4814,20C
TL7815415,DL2546,5F
JT3482344,F98700,5A
LY8834344,WN2556,25F
YZ4695148,NK7469,2C
FX4292408,AS9671,4A
IH3273393,NK1798,5F
GE8284658,NK2993,13C
XQ8243500,NK9331,13B
QH3094810,UA7693,9B
VQ4394087,B61186,23E
HF5669012,AA3236,5E
AY9991348,AA3427,24D
GD4860968,WN9601,6B
YN2708489,UA1132,10B
MT8598773,WN7257,16F
HW0738372,UA2123,7C
MX9071738,B66843,2D
MT7151459,DL7865,4B
XV2402053,NK1798,29C
WA0018646,NK4964,1D
TM7481418,WN7314,3D
VE2993196,UA2123,5E
YN0869695,NK2993,2A
OH9940987,WN5291,8A
KG8529360,UA2834,14A
FM5426800,G43627,13D
ES4813373,F92365,4D
FP5853382,SY6915,5D
KL1898723,F95736,24F
DI5874213,B68443,25F
AM4346814,G43772,27C
KD9177875,AS8918,29E
VK5884020,B63645,3C
DU5077290,NK4987,5D
XN8085024,B62287,23B
JX8051011,WN3706,18C
KW2794529,AA4159,3A
KK1428520,UA5038,13A
BO1342118,B66047,9B
TJ2406714,B61065,16F
XM1198430,NK4468,26B
RV4193073,SY8369,25C
GF0960768,WN3175,12F
VU0215769,DL3452,16B
FU5942393,NK1067,14A
VG3611208,F92879,15B
AI0994160,DL6215,23F
MU3621602,UA9387,10C
ZG3149382,B63645,3A
IV2543123,AA7410,18C
HX6771033,DL8153,22F
SL2853326,SY3310,5A
DS3964530,UA8018,13A
OG9992584,SY8369,25A
TJ6297894,UA2644,16F
YS0362856,UA4473,1F
NC0803104,SY3310,29B
GH8109934,G43627,16C
ON7970759,AS5507,8E
GY2364307,AA7410,26F
RJ8498417,NK3153,16A
ST3955934,AS5208,12A
YN0869695,G46214,2A
NU5096817,WN3706,24F
GG8614650,G44342,8E
BZ5753627,UA3976,7B
TI9702492,SY1321,7E
BP7149981,DL4164,9A
ZM1415846,G48864,29D
MB5485761,AS6984,22E
OP5726387,G44923,8D
KC9294981,UA8195,8B
DQ2599828,AA9104,4C
RH5029678,SY5572,13E
SY5970301,NK8066,19F
KK1428520,AS7407,2E
VD3154913,NK1462,1C
YI3486959,G44430,1A
EW2203367,B67460,28D
IN5293043,AS2693,1C
HD8213526,WN9584,15D
LP0281312,G41786,1B
GE3052597,AS3497,4C
WF9268368,UA9387,22A
JV6723910,AS6622,10F
DT4942888,G47167,17A
DM3371855,G41985,28B
JY7856218,F95736,29B
AB0560333,SY2874,9A
XS2474302,UA8195,8F
SM8363142,WN4909,7C
RS7104018,AS3926,21F
ZW0722999,UA9465,16D
YW7397422,SY1748,20E
XM9457238,UA5198,6E
KG7832034,DL5973,10E
AM1770581,G47817,22B
QT8486293,SY9450,22B
DF9074392,DL6547,12F
WD2021097,WN8320,6B
WS8370315,WN3753,28E
ZV8240137,G45339,8D
DC7943199,WN5714,8A
AO4316118,G45459,26A
UF7655359,B64098,20E
BJ2005063,F99400,16B
KL0017454,NK1462,28A
MY9873812,G47009,25F
CA6908243,NK7134,6A
VH2719544,WN7257,5E
PI1217814,DL3882,14E
YO9365092,UA4574,13B
DC2522868,AS2376,4F
UO1601476,B64098,15B
JM7790320,B63223,7F
PJ4346704,G43527,6D
OF5157475,F91153,5F
HK4008109,G42389,8A
RD4401718,UA5977,25E
ZQ1463273,DL4739,27E
IC1108917,G47293,22A
AD3542919,NK2613,10E
WN5510825,NK9648,26C
DA5464880,SY2681,2B
DY8177999,UA5977,14D
QQ9704810,B63223,9E
DR1727318,WN9584,17E
SI5334185,F93006,29B
MS2985069,NK1067,3D
EF2601657,NK8004,25B
NR5582208,WN4733,12C
SI2386411,AA5745,20B
NC3298224,WN6037,17B
VN3421190,UA5577,22E
BX2499325,SY9777,30C
HE3629555,G41142,25E
AF3292007,NK2099,13A
LM4868723,UA2834,15E
QJ4277176,AA9955,7F
UL0420413,B62853,5E
BY2374228,F92686,22F
UH3812105,WN5837,23F
CI6065079,AS6974,10D
AT3275318,F92825,1B
NL2554963,F92879,4C
CH4321850,NK9262,26E
MV3276263,UA7486,21C
US0739263,NK2283,4F
WR7972539,UA9387,6D
ZP6136081,F96387,9F
XM9457238,G44342,13C
EY0933652,DL2507,6D
IZ2788255,SY1948,3C
KF2052750,SY1573,20F
AD6801000,NK3635,27C
FY1206537,G47754,18E
EQ7379585,F95294,21D
HE3629555,F93032,11B
LV1861670,B62287,17B
FI5410449,UA2644,6A
GG9712188,WN4206,17C
WT2683081,SY2910,19B
ZU7613785,AS6950,27A
VD0569342,WN2556,6D
GI6174003,UA7486,12B
ZA9668922,DL4164,14A
DS7584159,WN9584,27B
KG3369404,DL7735,17E
ML1943388,AA8642,3D
GO2175526,SY1075,5B
YY4490416,DL8326,15C
TZ8509555,G48551,1C
HC7238206,DL6412,24E
XZ5726907,G49193,19A
PY8454603,AA3427,28C
AL2268775,DL3452,18C
DH5121927,UA4633,19C
PU8411198,F93006,13F
JM7451957,G43148,22D
OK4688648,AA5745,20E
MU3621602,NK4987,28D
YZ2596496,SY3482,27D
PK7468661,SY6365,9F
JT3482344,SY8661,21A
CF0423111,WN2827,15D
IP2962210,B67231,8A
KO2514517,WN4733,25E
TO1639256,NK7469,12E
PP7053259,G49547,13E
UZ8511690,WN2583,16D
IW8842517,DL7735,17A
HQ6394798,AA8894,9F
WL9195600,AS8014,6D
FL9356716,AS9177,11C
OB4520431,WN4416,5F
TR0342851,SY9450,27C
VT5959518,SY8369,14C
RJ2850323,NK9331,10B
LL7069270,SY5679,7F
XN7339033,F92616,11C
VN5730026,DL7755,1D
YP7019024,SY8218,29F
FV1750421,AS6080,8A
FI1512815,UA2123,2A
ZQ3861720,WN1816,5D
AN6795455,F95058,4A
PB4333695,F93006,14E
LV6137361,SY5320,25A
DN1785599,B68668,22E
EY4422409,UA3428,3D
EZ7952944,UA4473,23E
BL7371150,DL3704,11F
CR9470708,AA8768,7C
KL0017454,DL1232,10E
JL3637282,SY1948,22D
XW4762301,F94103,16C
QP9732390,NK2985,28A
ZE7678206,NK1276,29D
ZA1142825,WN6393,5F
CN9840780,AS9177,1E
MU2414888,B61522,14D
CS2887155,UA2306,4A
LM1386966,WN3706,17B
PD5307429,B64079,26B
WQ3552344,NK5912,14E
TJ3025768,G49169,10B
JC8858628,WN9737,7C
AM3336308,AA2382,11B
BQ1846336,UA5038,11D
BX7070694,WN1157,15A
SA1876960,F97348,17D
YY8615017,G45486,15B
CN1321139,WN7830,4F
ZA9503886,DL5422,12A
KD1902653,B65536,2A
PB4333695,SY5819,29B
PC7816634,AA5055,2D
LR0596314,AA9801,6B
KR3663616,AS1048,10F
ZZ5689774,SY7998,8B
VO4588845,DL5422,21D
EV6311636,DL4585,10C
EY9455795,WN5411,6E
QU1754317,NK4468,19A
YV7890329,B62882,29C
PP5653978,DL8211,3D
WJ8556857,NK1017,6F
WG6319975,NK3670,13C
TZ6201413,DL3424,1B
EF2601657,AS8403,29E
PN2588127,DL6910,10F
IQ8559997,SY8218,15F
YG9615775,SY4732,5D
YE0886336,NK1067,17E
QB7638314,B62506,30B
KD4379048,WN8014,25F
LE6040540,DL1232,21D
BU5595758,AA8821,12F
QL2484745,DL7865,12B
LV0295036,F96858,28A
EG8867966,B69265,18F
ZN2891972,AA6228,7A
MJ3260141,AA8642,13E
DD5472032,NK3635,26C
GU6744589,AA8894,9A
SU2102213,B66002,7C
WY1608923,UA2306,20B
WL9195600,WN5714,1C
BK3680504,SY6939,13E
CM2819344,AA6881,22F
EA1410893,NK3635,4F
MP2830098,B64167,14B
GO7901499,B66908,2C
XZ5726907,F97267,7E
UJ2400943,WN3180,4B
AQ8735248,DL7755,2E
NB6703370,F94318,1D
FV1750421,DL4696,29B
DJ0431929,NK7827,20E
EN7853216,SY1573,1A
YV7890329,UA9519,1B
FB0083751,WN3706,10A
JE1950031,WN6037,8A
ZS8551500,AA4672,26E
IP0868783,SY4732,6A
SE2374500,WN6797,12F
IP8745926,UA7693,25E
ZM6484755,SY6939,14D
SV7580445,DL5973,24B
KB7026916,DL5422,2C
FF3206896,G41786,21C
ZI5697919,NK6450,8A
PS2005982,F96858,13F
NT6613284,UA7693,25C
ER4811062,NK9301,8D
LD6036511,F96387,11B
PU5185714,NK3670,30E
HD2831380,DL4497,25A
IQ3314924,DL8211,14A
AO6221895,B68900,8D
GA4905108,G45459,1D
IE6411527,F99400,5B
IV3238346,AS8807,18F
FY5792007,UA8933,16E
MN7043581,SY8036,30E
FB6939598,B69265,29D
XZ3235422,AA4066,16C
BC9424363,NK3635,29A
ZI7558177,WN5291,16C
WG9539544,WN6786,12D
OB2549891,DL4497,30A
SW2011782,B61522,23F
QL3476659,DL5026,17A
NU0057313,AA9721,23F
BC1093263,B65275,19F
HZ7229600,NK9331,14E
QQ3113379,SY1573,20C
BG2079324,NK1798,7B
KB9558584,WN8862,21C
ZQ1463273,SY8218,8E
SR6836654,SY5818,20F
ON1315382,AS8147,22E
VC6296176,G49193,16D
DA6161506,WN9584,30B
TD6752913,B65536,7A
BM9605057,WN8862,25C
RG9422102,NK9301,30C
DN1785599,NK2613,10C
PF9734833,WN6080,15C
UU0344749,SY9733,8F
NA1910323,AA6356,10D
QU5274175,UA1486,20C
BM4996449,SY6939,2E
TV9884168,F99400,3D
BW8430457,WN2722,14D
KR3641093,WN2827,29F
EN8525953,F97422,15F
TV0277823,WN2556,26C
FL1704894,G41251,6C
QW3137750,SY1437,11E
SM3771876,AA6228,12B
DV6268061,WN5291,10B
KY6151556,DL4585,1C
QE9960351,SY5171,12A
YG6258427,G49849,18E
RJ4024921,NK4814,27F
WY6376268,F96796,21A
MN0852909,B61065,6B
AO4683779,SY2141,1B
MV1370354,SY3251,13F
ZM1415846,SY1948,17F
EP5884814,DL5422,26A
HX8899417,G43102,4B
GU0498990,DL6094,30D
KF3461678,AS6531,5E
EK8995406,UA5038,19F
XS4177296,G46214,25E
PM2454105,AA7603,13F
BQ6808719,NK8277,17B
PG6505088,DL4849,15A
ZM3620913,G44342,17A
VW5261320,UA4633,4E
FR7482463,DL3774,9C
AX3444379,WN4109,3E
XF9825410,AA7722,6F
JO5226507,WN3785,26A
NI0026133,UA1130,14D
MD7998628,SY6365,22C
SN0141781,B62121,25B
VC6028887,AA2452,9D
KL1788228,G41031,21C
OC2568193,AA9955,12D
OD3751867,B62220,25D
PC7136415,UA8195,12C
GK9228633,G47293,4F
KO2514517,WN2415,15E
VU9790925,B68119,14B
IP3210811,G43364,18C
WV0711462,B67431,4A
CR3458153,G46152,2E
GZ3861611,DL4164,8A
ZA5768201,AS5326,27F
WG1249091,G48357,29F
CC2585415,UA3547,24A
NB4556902,F96872,29B
CI6065079,B65536,28C
KZ2881474,NK5275,14C
YI2549885,F96434,11C
JL8359002,SY5679,30D
CP8222838,G41102,4F
VS1559485,SY2681,26D
TZ2975593,UA2123,20D
CZ0153790,WN6626,1E
VX4821400,G43307,11A
JY7694365,B61327,20E
BE8022534,AA9955,23B
DU5077290,WN3733,20A
ZA9668922,F92616,21C
XV6958677,NK4814,4B
CW6807794,AS2777,18B
NA8685233,WN5837,7B
OB8993976,B68900,8D
GI6091718,UA2834,14E
HX9585781,WN6028,16B
PB4333695,AA6063,12C
LJ2403060,UA3866,21E
PH4369045,NK7347,28B
DK1778030,WN7844,17C
CI0843681,B68119,8B
BY2464662,AA9464,16D
AD6049559,UA8905,8F
TP1601467,AA4142,12B
OS1265536,SY1478,9B
AW2968628,WN2827,23C
EH4270279,B67231,28A
CR9470708,AA9721,8F
FV8434251,AA1020,15E
BJ2005063,AS6984,17D
EZ5466972,AS8403,14D
CS9763260,DL4473,11D
GR1981688,SY9777,4B
HO5955293,B67460,9B
NJ2653322,WN3706,12F
NT9330032,F96107,11E
DF5333269,B62145,4D
IN2208506,G43307,10E
NI2147684,DL4696,20E
LG4450563,AA9801,11D
OR8362786,AA3643,1B
BH0118341,AA9464,9A
WP5906109,G47817,17D
BW0321613,B61522,6F
JP8475827,UA7063,3B
XZ8606117,G49169,24F
JG7753089,NK2985,5B
ZF0881386,NK1621,1F
NI2147684,NK3606,17A
ZT0121729,SY5679,4F
NI3313386,WN6797,27E
XQ2099985,WN5716,5D
LQ9795930,NK5823,27D
AA3795553,WN1816,18F
RD4472904,G46214,15F
VP4098982,B69918,17F
GK2530271,NK1621,18E
OF5157475,G42324,22D
VV9838121,DL3774,20F
CQ4692797,UA5195,21B
JX7612406,B64098,20F
ZJ0024710,AS7365,15E
GK9803176,NK7827,11A
SH6301661,G41263,21D
KP0588611,SY6295,1F
JJ5475625,SY5698,3F
XJ1807739,B65599,23E
ZI4561129,WN6080,25E
DD5472032,B69474,23D
ZS8551500,AS6184,17E
MY0695128,AS8147,23D
SD4169706,B64079,10C
FD3054817,WN4416,19D
VC8055688,UA2306,28B
MM3961261,G43307,1F
CU4731977,G41154,3F
XP2809520,F96107,22B
NL8633939,UA9465,12B
QJ1329986,UA5198,29C
NL9779594,F95058,15F
OQ1447556,NK5912,7A
EK8995406,WN6393,5B
IH3649493,G43527,4C
HB9868802,AA8867,29A
PD5207002,AS3497,25E
JO0690517,B69265,30B
YW9821520,G43527,8E
IX0311023,DL1232,4F
OD1907964,NK7342,5E
CN7273213,F93006,3D
ZZ5689774,G48357,30A
XH6601692,F97267,13D
PL7431665,G41263,23B
LB3584028,WN3073,13B
HM7199949,G49169,18B
MX9071738,AS2777,14C
UM2085877,DL2230,11A
ZM2740973,F99400,1E
UK4837352,AA7722,12B
ST3901026,UA7727,17A
AC4294693,NK9262,20A
XP7102657,SY2712,15E
NZ8947135,F93517,30E
FE8113384,AA7722,14A
OM5976296,B62915,8F
DR7360686,NK8004,24D
SA9843262,G42389,9C
DA2048995,UA7727,3E
ST2211066,B62915,14F
GI1621126,DL4164,15A
TG8986338,DL3081,24D
BX3249343,B65536,20D
BM4996449,B61071,30C
YY4490416,AA9104,16F
TI9205610,NK2985,6A
EM3969783,WN7314,16A
IB4949074,NK7342,15D
VN3421190,AA7603,14D
MT1459238,AA8768,22D
AV0084417,WN2415,18A
BQ3836591,WN6797,10C
QU5274175,WN6080,4D
JH3155798,SY7893,6E
FA8307936,WN7314,11D
AL2594222,AS2394,21E
SA9843262,SY3251,11A
YK9193178,G42640,1B
ZU5007498,DL3774,3F
XW4762301,G46225,16C
DA5895471,SY5171,24A
KU8830643,F95294,18E
ER1756064,B65056,23E
VD8415290,DL4036,25D
FD3054817,B62145,7C
QF4786514,DL8556,20D
CP5036719,SY3310,13C
PS9686016,WN3785,8A
YR2803000,B66908,2D
FC8311689,F93032,9E
MO0436306,AS6622,18B
BL2703695,WN5714,22D
GI8938413,B62220,9F
GQ8403502,WN7682,7E
VC5274138,G48551,25E
UO4346274,NK5275,2B
SY5558411,G48864,25F
CT1781945,G43627,21F
OR4143666,WN6626,18B
UH3812105,AS6531,22A
BT3351944,AS5326,30F
SO3252721,B62882,19C
FB2966271,UA1132,5F
DZ6690670,DL6215,11D
FY1206537,AA6063,30F
PD2685198,AS2376,23C
